amiodarone	Pacerone, Cordarone, Nexterone	Antiarrhythia	ACLS, Proarrhythmic	Red
sotalol HCl	Betapace	Antiarrhythmic	ACLS, Class II and II, non selective beta blocker	Red
lisinopril	Prinivil, Zestril	ACE inhibitor	Antihypertensive	Red
ramipril	Altace	ACE inhibitor	Antihypertensive	Red
benazepril HCl	Lotensin	ACE inhibitor	Antihypertensive	Red
enalapril maleate	Vasotec	ACE inhibitor	Antihypertensive	Red
simvastatin	Zocor	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
atorvastin calcium	Lipitor	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
lovastatin	Mevacor	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
pravastatin sodium	Pravachol	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
rosuvastatin calcium	Crestor	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
exetimibe + simvastin	Vytorin	HMG-CoA Reductase Inhibitor	Antihyperlipidemic	Red
gemfibrozil	Lopid	Fibrate	Antihyperlipidemic	Red
fenofibrate	TriCor	Fibrate	Antihyperlipidemic	Red
ezetimibe	Zetia	2-azetidinone	Antihyperlipidemic	Red
niacin	Niaspan	Antilipemic, vitamin	Antihyperlipidemic	Red
omega 3 acid ethyl esters	Lovaza	Antilipemic, omega 3 fatty acids	Antihyperlipidemic	Red
losartan 	Cozaar	ARB	Antihypertensive	Red
olmesartan medoxomil	Benicar	ARB	Antihypertensive	Red
valsartan	Diovan	ARB	Antihypertensive	Red
metoprolol tartrate	Lopressor	Beta blocker	Antihypertensive, antiangina	Red
metoprolol succinate	Toprol XL	Beta blocker	Antihypertensive, antiangina	Red
atenolol	Tenormin	Beta blocker	Antihypertensive, antiangina	Red
carvedilol	Coreg	Beta blocker	Antihypertensive	Red
propranolol HCl	Inderal	Beta blocker	Antihypertensive	Red
nebivolol HCl	Bystolic	Beta blocker	Antihypertensive	Red
lisinopril + HCTZ	Zestoretic, Prinzide	ACE + thiazide diuretic	Antihypertensive	Red
losartan potassium + HCTZ	Hyzaar	ARB + thiazide	Antihypertensive	Red
valsartan + HCTZ	Diovan HCT	ARB + thiazide	Antihypertensive	Red
amlodipine besylate + benazepril HCL	Lotrel	ACE + Ca channel blocker	Antihypertensive	Red
hydralazine HCl	Apresoline	Vasodilator/nitrate	Antihypertensive	Red
clonidine HCl	Catapre, Nexiclon	alpha 2 adrenergic agonist	Antihypertensive	Red
terazosin HCl	Hytrin	alpha 1 blocker	Antihypertensive, BPH agent	Red
doxazosin mesylate	Cardura	alpha 1 blocker	Antihypertensive, BPH agent	Red
amlodipine besylate 	Norvasc	Ca channel blocker	Antihypertensive, antianginal, BPH agent	Red
verapamil HCl	Isoptin, Calan, Verelan	Ca channel blocker	Antihypertensive, antianginal	Red
nifedipine	Porcardia, Nifedical XL, Adalat	Ca channel blocker	Antihypertensive, antianginal	Red
diltiazem HCl	Cardizem, Cartia, Tiazac	Ca Channel blocker	Antihypertensive, antianginal	Red
furosemide	Lasix	Loop diuretic	Antihypertensive	Red
bumetanide	Bumex	Loop diuretic	Antihypertensive	Red
torsemide	Demadex	Loop diuretic	Antihypertensive	Red
hydrochlorothiazide (HCTZ)	Microzide	Thiazide diuretic	Antihypertensive	Red
spironolactone	Aldactone	K sparing diuretic, aldosterone block	Antihypertensive	Red
triamterene + HCTZ	Dyazide, Maxzide	Potassium sparing + thiazide diuretic	Antihypertensive	Red
digoxin	Lanoxin, Digitek	Iontropic agent	Antiarrhythmic	Red
clopidogrel	Plavix	Antiplatelet	Clot inhibition	Red
eptifibatide	Integrilin	Antiplatelet	Clot inhibition	Red
acetylsalicyclic acid + dipyridamole	Aggrenox	Antiplatelet	Clot inhibition	Red
labetalol	Trandate	Beta blocker	Antihypertensive	Red
nitroglycerin ointment	Nitro-BID	Nitrate	Vasodialator	Red
nitroglycerin sublingual	Nitrostat	Nitrate	Vasodialator	Red
nitroglycerin transdermal	Nitro-dur, Transderm-Nitro	Nitrate	Vasodialator	Red
dobutamine	NULL	Inotrope	Pressor	Red
dopamine	NULL	Inotrope	Pressor	Red
ephedrine	NULL	Inotrope	Pressor	Red
midodrine	Amatine	Inotrope	Pressor	Red
milrinone	NULL	Inotrope	Pressor	Red
alteplase	TPA, Activase, t-PA	Thrombolytics	Clot dissolution	Red
reteplase	Retavase	Thrombolytics	Clot dissolution	Red
streptokinase	Streptase	Thrombolytics	Clot dissolution	Red
nitrofurantoin	Macrodantin, Macrobid, Furadantin	Antibacterial	Urinary antibiotic	Lime
sulfamethaxazole + trimethoprim	Bactrim, Septra	Antibiotic + sulfonamide	Sulfonamide	Lime
amoxicillin trihydrate	Amoxil, Moxatag, Trimox	Antibacterial	3rd generation pencillin	Lime
amoxicillin with clavulanate potassium	Augmentin	Antibacterial	3rd generation pencillin	Lime
cephalexin monohydrate	Keflex	Antibacterial	1st generation cephalosporin	Lime
clindamycin HCl	Cleocin	Antibacterial	Other antimicrobial	Lime
ciprofloxacin HCl	Cipro	Antibacterial	Fluoroquinolone	Lime
levofloxacin	Levaquin	Antibacterial	Floroquinolone	Lime
azithromycin dihydrate	Zithromax, Zmax	Antibacterial	Macrolide	Lime
doxycycline hyclate	Vibramycin, Doryx	Antibacterial	Tetracycline	Lime
mupirocin	Bactroban	Topical antibiotic	Antibiotic	Lime
ceflacor	Ceclor	Antibacterial	2nd generation cephalosporin	Lime
cefdinir	Omnicef	Antibacterial	3rd generation cephalosporin	Lime
ceftriazone	Rocephin	Antibacterial	3rd generation cephalosporin	Lime
cefepime	Maxipime	Antibacterial	4th generation cephalosporin	Lime
vancomycin	Vancocin	Antibacterial	Glycopeptides	Lime
clarithromycin	Biaxin	Antibacterial	Macrolide	Lime
penicillin V	NULL	Antibacterial	1st generation penicillin	Lime
